INFO 2025-01-13 22:11:14,928 middlewares 2025-01-13 22:11:14 | IP: 127.0.0.1 | Method: GET | Path: /admin/customUser/customuser/14/change/ | Status Code: 200 | Duration: 2.79s
INFO 2025-01-13 22:11:15,348 middlewares 2025-01-13 22:11:15 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.26s
ERROR 2025-01-14 16:16:32,909 middlewares 2025-01-14 16:16:32 | IP: 127.0.0.1 | Method: GET | Path: / | Status Code: 404 | Duration: 0.00s
ERROR 2025-01-14 16:16:33,326 middlewares 2025-01-14 16:16:33 | IP: 127.0.0.1 | Method: GET | Path: /favicon.ico | Status Code: 404 | Duration: 0.00s
INFO 2025-01-14 16:16:40,364 middlewares 2025-01-14 16:16:40 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.44s
INFO 2025-01-14 17:16:19,639 middlewares 2025-01-14 17:16:19 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.42s
INFO 2025-01-14 17:16:22,456 middlewares 2025-01-14 17:16:22 | IP: 127.0.0.1 | Method: GET | Path: /admin/notifications/notifications/ | Status Code: 200 | Duration: 0.45s
INFO 2025-01-14 17:16:22,758 middlewares 2025-01-14 17:16:22 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.25s
INFO 2025-01-14 17:16:25,921 middlewares 2025-01-14 17:16:25 | IP: 127.0.0.1 | Method: GET | Path: /admin/notifications/notifications/add/ | Status Code: 200 | Duration: 0.49s
INFO 2025-01-14 17:16:26,054 middlewares 2025-01-14 17:16:26 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.09s
INFO 2025-01-14 17:16:45,162 middlewares 2025-01-14 17:16:45 | IP: 127.0.0.1 | Method: POST | Path: /admin/notifications/notifications/add/ | Status Code: 200 | Duration: 0.66s
INFO 2025-01-14 17:16:45,299 middlewares 2025-01-14 17:16:45 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.09s
INFO 2025-01-14 17:23:11,865 middlewares 2025-01-14 17:23:11 | IP: 127.0.0.1 | Method: POST | Path: /admin/notifications/notifications/add/ | Status Code: 200 | Duration: 0.72s
INFO 2025-01-14 17:23:12,181 middlewares 2025-01-14 17:23:12 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.26s
INFO 2025-01-14 17:23:33,458 middlewares 2025-01-14 17:23:33 | IP: 127.0.0.1 | Method: POST | Path: /admin/notifications/notifications/add/ | Status Code: 200 | Duration: 0.74s
INFO 2025-01-14 17:23:33,604 middlewares 2025-01-14 17:23:33 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.08s
INFO 2025-01-14 17:23:44,885 middlewares 2025-01-14 17:23:44 | IP: 127.0.0.1 | Method: POST | Path: /admin/notifications/notifications/add/ | Status Code: 200 | Duration: 0.73s
INFO 2025-01-14 17:23:45,028 middlewares 2025-01-14 17:23:45 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.09s
INFO 2025-01-14 17:23:46,302 middlewares 2025-01-14 17:23:46 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.38s
INFO 2025-01-14 17:24:06,931 middlewares 2025-01-14 17:24:06 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.42s
INFO 2025-01-14 17:24:34,341 middlewares 2025-01-14 17:24:34 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.41s
INFO 2025-01-14 17:26:23,393 middlewares 2025-01-14 17:26:23 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.54s
INFO 2025-01-14 17:26:38,277 middlewares 2025-01-14 17:26:38 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.41s
INFO 2025-01-14 17:26:44,393 middlewares 2025-01-14 17:26:44 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.39s
INFO 2025-01-14 17:26:54,562 middlewares 2025-01-14 17:26:54 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.42s
INFO 2025-01-14 17:27:56,052 middlewares 2025-01-14 17:27:56 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.42s
INFO 2025-01-14 17:31:27,729 middlewares 2025-01-14 17:31:27 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.40s
INFO 2025-01-14 17:31:35,272 middlewares 2025-01-14 17:31:35 | IP: 127.0.0.1 | Method: GET | Path: /admin/customUser/customuser/ | Status Code: 200 | Duration: 0.42s
INFO 2025-01-14 17:31:35,420 middlewares 2025-01-14 17:31:35 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.10s
INFO 2025-01-14 17:31:39,673 middlewares 2025-01-14 17:31:39 | IP: 127.0.0.1 | Method: GET | Path: /admin/customUser/customuser/14/change/ | Status Code: 200 | Duration: 2.90s
INFO 2025-01-14 17:31:39,878 middlewares 2025-01-14 17:31:39 | IP: 127.0.0.1 | Method: GET | Path: /admin/jsi18n/ | Status Code: 200 | Duration: 0.08s
INFO 2025-01-14 17:31:45,313 middlewares 2025-01-14 17:31:45 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.36s
INFO 2025-01-14 17:32:48,446 middlewares 2025-01-14 17:32:48 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.48s
ERROR 2025-01-14 17:32:48,519 middlewares 2025-01-14 17:32:48 | IP: 127.0.0.1 | Method: GET | Path: /static/images/logos/logo.jpg | Status Code: 404 | Duration: 0.01s
ERROR 2025-01-14 17:32:48,705 middlewares 2025-01-14 17:32:48 | IP: 127.0.0.1 | Method: GET | Path: /static/images/logos/logo.jpg | Status Code: 404 | Duration: 0.00s
INFO 2025-01-14 17:33:30,291 middlewares 2025-01-14 17:33:30 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.41s
ERROR 2025-01-14 17:33:30,368 middlewares 2025-01-14 17:33:30 | IP: 127.0.0.1 | Method: GET | Path: /static/backend/media/profile_images/0UD_1616.NEF | Status Code: 404 | Duration: 0.01s
ERROR 2025-01-14 17:33:30,553 middlewares 2025-01-14 17:33:30 | IP: 127.0.0.1 | Method: GET | Path: /static/backend/media/profile_images/0UD_1616.NEF | Status Code: 404 | Duration: 0.00s
INFO 2025-01-14 17:33:40,405 middlewares 2025-01-14 17:33:40 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.41s
ERROR 2025-01-14 17:33:40,463 middlewares 2025-01-14 17:33:40 | IP: 127.0.0.1 | Method: GET | Path: /static/media/profile_images/0UD_1616.NEF | Status Code: 404 | Duration: 0.01s
ERROR 2025-01-14 17:33:40,617 middlewares 2025-01-14 17:33:40 | IP: 127.0.0.1 | Method: GET | Path: /static/media/profile_images/0UD_1616.NEF | Status Code: 404 | Duration: 0.00s
INFO 2025-01-14 17:33:52,798 middlewares 2025-01-14 17:33:52 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.42s
INFO 2025-01-14 17:34:15,144 middlewares 2025-01-14 17:34:15 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.43s
INFO 2025-01-14 17:34:19,190 middlewares 2025-01-14 17:34:19 | IP: 127.0.0.1 | Method: GET | Path: /admin/ | Status Code: 200 | Duration: 0.38s
